"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 18:06:39 IST 2020","Mon Jul 20 18:06:51 IST 2020","12040","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","existingusersignin","existingusersignin",""
"passed","Mon Jul 20 18:06:52 IST 2020","Mon Jul 20 18:07:14 IST 2020","22006","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","viewmsg","viewmsg",""
"passed","Mon Jul 20 18:07:55 IST 2020","Mon Jul 20 18:08:03 IST 2020","8040","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","filldeliveryaddress","filldeliveryaddress",""
"broken","Mon Jul 20 18:02:17 IST 2020","Mon Jul 20 18:02:41 IST 2020","23957","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","setgreenzonelocation","setgreenzonelocation",""
"failed","Mon Jul 20 18:09:29 IST 2020","Mon Jul 20 18:09:36 IST 2020","7221","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","proceedpay","proceedpay",""
"passed","Mon Jul 20 18:07:37 IST 2020","Mon Jul 20 18:07:50 IST 2020","12473","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","navtoAddresform","navtoAddresform",""
"passed","Mon Jul 20 18:08:03 IST 2020","Mon Jul 20 18:08:06 IST 2020","3121","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","verifydropdown","verifydropdown",""
"passed","Mon Jul 20 18:06:51 IST 2020","Mon Jul 20 18:06:52 IST 2020","917","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","switchmsgapp","switchmsgapp",""
"passed","Mon Jul 20 18:09:25 IST 2020","Mon Jul 20 18:09:29 IST 2020","4579","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","gotocartview","gotocartview",""
"passed","Mon Jul 20 18:07:14 IST 2020","Mon Jul 20 18:07:37 IST 2020","23222","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","userlangpref","userlangpref",""
"passed","Mon Jul 20 18:08:06 IST 2020","Mon Jul 20 18:08:21 IST 2020","14430","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","verifydropdown","verifydropdown",""
"passed","Mon Jul 20 18:08:30 IST 2020","Mon Jul 20 18:08:40 IST 2020","10146","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","searchTV","searchTV",""
"passed","Mon Jul 20 18:08:25 IST 2020","Mon Jul 20 18:08:30 IST 2020","4972","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","navigatehome","navigatehome",""
"passed","Mon Jul 20 18:08:21 IST 2020","Mon Jul 20 18:08:25 IST 2020","4152","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","verifySaveAddressConfirmation","verifySaveAddressConfirmation",""
"passed","Mon Jul 20 18:07:50 IST 2020","Mon Jul 20 18:07:54 IST 2020","4064","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","selectnewAddresform","selectnewAddresform",""
"passed","Mon Jul 20 18:08:53 IST 2020","Mon Jul 20 18:09:25 IST 2020","31362","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","tvDetails","tvDetails",""
"passed","Mon Jul 20 18:08:40 IST 2020","Mon Jul 20 18:08:53 IST 2020","13362","Amazon Automation Suite","Test","automation.ebay.Login_Existing_User","automation.ebay.Login_Existing_User","scrollTVlistSelect","scrollTVlistSelect",""
